Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF
TAS_SPD__APL_0.70|0.6|0,0.020457693329752884,0.037151517236163126,0.5506556623167856,0.5865704739291824,-0.0524261531841445,0.09334153984365026,3.5062147147216254
DEP_ALL__PVAL_3|3,180.12826615908665,88.28161956883771,2.0403824379165516,0.05158960967187372,6.937384888958491,353.3191474292148,2.290515914426557
LTV_30B_17__PVAL_3|5,2.1390994063987567e-07,2.7251169942883375e-08,7.849569067611283,2.520451726290699e-08,1.604485954459325e-07,2.673712858338188e-07,1.3575327648799813
LTV_30B_18__PVAL_3|5,1652.4506942830599,67.26015883828515,24.5680462672721,1.605766422031891e-19,1520.4997146741255,1784.4016738919943,1.2808789027097605
LTV_30B_19__PVAL_3|5,1814.436786999276,62.75737391998308,28.911929764822847,2.6925558731462857e-21,1691.3193708430656,1937.5542031554862,1.3316949125294981
MAS_SPD__PVAL_3|3,18.753117734968495,28.205053181158696,0.6648850337036697,0.5119789213568098,-36.579555595822995,74.08579106575998,1.8379486735937864
SUP_VID__PVAL_3|5,79.87873753148908,51.185013076785744,1.5605883974603687,0.1307117047470752,-20.536021122538955,180.2934961855171,2.5960389662602372
IRI_pctTD__PVAL_5|3#LAG_2,525.7877853834924,88.87909678917508,5.915764272792768,3.0601404439112537e-06,351.42477330250654,700.1507974644783,3.7593469197726916
IRI_BAS_PRC_1500ML__RA_7,-1.4866969042844846,9.350839065314055,-0.15899074873390015,0.8749047413486424,-19.83117298261573,16.857779174046758,3.521574027753784
IRI_BAS_PRC_750ML__RA_5,-1.4724131564286462,7.26240215964481,-0.20274464620128654,0.8409128629215957,-15.719793713218381,12.77496740036109,4.775521815216307
HOL_CHR_NEW,401.7217226631615,31.740425719474434,12.656469267728943,1.2758237331432646e-12,339.4533554867029,463.99008983962005,1.9314041348277162
HOL_LAB,16.107014439663004,24.071681596944636,0.6691270975313761,0.5093128792216123,-31.11681051721817,63.33083939654418,1.1108630527498513
HOL_MEM,1.1879032577954702,29.805436004917087,0.03985525518229287,0.968512992118078,-57.28440109664491,59.66020761223585,1.1428168927513331
HOL_MOT,13.287435457332437,28.83546202213678,0.46080189202904975,0.6487720686629239,-43.281973937689735,69.85684485235461,1.069644645890535
HOL_NWY,8.000358564331835,26.60747716007033,0.30068083930700207,0.7660491746597339,-44.19819012828882,60.19890725695249,1.3572350231152075
HOL_THK,248.44397913898658,28.40459195994547,8.746613205686181,3.1896335364343e-09,192.71985063197124,304.16810764600194,1.5467665505900419
HOL_VAT,339.67986821273433,25.214895365982777,13.471397096138414,3.098546745027347e-13,290.21328648375436,389.1464499417143,1.2188829513239612
IRI_BAV_1500ML,2604.325686065623,429.46870593956015,6.0640639237452,2.0875111433276258e-06,1761.7939787534797,3446.857393377766,2.1569257706881757
IRI_BAV_750ML,1956.7485548805575,345.3916756915688,5.665303169112604,5.862672706998096e-06,1279.1591655089069,2634.337944252208,2.5960267858715524
IRI_TRD_DESEA,0.013751139530081854,0.003992266678661941,3.4444441308441656,0.0019527767828041098,0.005919110759883656,0.02158316830028005,2.073611766707185
IRI_WBR,0.070028839547933,0.707760687518488,0.09894423465855995,0.9219414678867388,-1.3184560772256952,1.458513756321561,3.675283821893975
IRI_pctAT,3.8793794192356157,0.5697805059545636,6.808550623781733,3.162926326165914e-07,2.7615840226540667,4.997174815817164,2.3002430320292913
IRI_pctFD,4.2675244666014365,1.2400937378765904,3.4412918445251637,0.0019684127697457967,1.8347085716353897,6.700340361567483,2.3624352792907897
IRI_pctTA,3.1206526255228155,9.396118019800506,0.33212148026947325,0.742460212512114,-15.312651705719937,21.553956956765568,2.028948805696586
IRI_pctTF,7.820657260637113,0.6613479206426491,11.825329779577405,5.797132488420376e-12,6.523224909920497,9.11808961135373,3.0426624903222197
SEA_IRI_CORE_1,1522.4714147514442,87.71602416435769,17.356821963324705,8.090644510342327e-16,1350.3901185458249,1694.5527109570635,5.781220230091908
WBR_TRD,-0.20576992971131977,34.4288953382903,-0.005976663720676263,0.9952769633401732,-67.74837680436235,67.3368369449397,3.749153267984449
Intercept,154.27424323776833,3380.77459819247,0.045632809510652086,0.9639516083927224,-6478.129363495543,6786.677849971079,
